,0,1,2,3,4,5,6,7,8,9
0,0.028754892151715394,-0.05258157703809885,3,30,90,1,1.0,15,5,15
1,0.02589329089194481,-0.051638214597277354,3,30,90,1,1.0,15,5,20
2,0.018935415837087133,-0.05031210159827104,3,30,90,1,1.0,15,5,30
3,0.008454668904796014,-0.05036755073628907,3,30,90,1,1.0,15,5,50
4,0.029628647353105553,-0.05009630315336844,3,30,90,1,1.0,15,10,15
5,0.026253425354401838,-0.051638214597277354,3,30,90,1,1.0,15,10,20
6,0.019929164217638295,-0.05031210159827104,3,30,90,1,1.0,15,10,30
7,0.005992000242141471,-0.05036755073628907,3,30,90,1,1.0,15,10,50
8,0.005086207795186093,-0.046900951015857895,3,30,90,1,1.0,15,20,15
9,0.003911122254775579,-0.047058735822464004,3,30,90,1,1.0,15,20,20
10,0.0032682878961434736,-0.04579476395721849,3,30,90,1,1.0,15,20,30
11,0.0014599181697597663,-0.04585813440066766,3,30,90,1,1.0,15,20,50
12,0.0,0.0,3,30,90,1,1.0,15,40,15
13,0.0,0.0,3,30,90,1,1.0,15,40,20
14,0.004460550083127179,-0.047201717032551826,3,30,90,1,1.0,15,40,30
15,0.0008229934763439584,-0.04727564921657568,3,30,90,1,1.0,15,40,50
16,1.0,1.0,3,30,90,1,1.0,15,60,15
17,1.0,1.0,3,30,90,1,1.0,15,60,20
18,0.0,0.0,3,30,90,1,1.0,15,60,30
19,-0.0010699301919829818,-0.04698212168178617,3,30,90,1,1.0,15,60,50
20,0.014414983164983242,-0.05333720947002196,3,30,90,1,1.0,25,5,15
21,0.014414983164983242,-0.04376890147464685,3,30,90,1,1.0,25,5,20
22,0.014414983164983242,-0.04836544316019231,3,30,90,1,1.0,25,5,30
23,0.0019771722197095,-0.05086460561941719,3,30,90,1,1.0,25,5,50
24,0.004577020202020221,-0.05333720947002196,3,30,90,1,1.0,25,10,15
25,0.004577020202020221,-0.04376890147464685,3,30,90,1,1.0,25,10,20
26,0.004577020202020221,-0.04836544316019231,3,30,90,1,1.0,25,10,30
27,0.0019771722197095,-0.05086460561941719,3,30,90,1,1.0,25,10,50
28,0.004577020202020221,-0.05333720947002196,3,30,90,1,1.0,25,20,15
29,0.004577020202020221,-0.04376890147464685,3,30,90,1,1.0,25,20,20
30,0.004577020202020221,-0.04836544316019231,3,30,90,1,1.0,25,20,30
31,0.0019771722197095,-0.05086460561941719,3,30,90,1,1.0,25,20,50
32,0.0,0.0,3,30,90,1,1.0,25,40,15
33,0.0,0.0,3,30,90,1,1.0,25,40,20
34,0.0,0.0,3,30,90,1,1.0,25,40,30
35,-0.003222523744911776,-0.047137107009464496,3,30,90,1,1.0,25,40,50
36,1.0,1.0,3,30,90,1,1.0,25,60,15
37,1.0,1.0,3,30,90,1,1.0,25,60,20
38,0.0,0.0,3,30,90,1,1.0,25,60,30
39,-0.003222523744911776,-0.04962529160774087,3,30,90,1,1.0,25,60,50
40,0.0,0.0,3,30,90,1,1.0,30,5,15
41,0.0,0.0,3,30,90,1,1.0,30,5,20
42,0.0,0.0,3,30,90,1,1.0,30,5,30
43,0.0,0.0,3,30,90,1,1.0,30,5,50
44,0.0,0.0,3,30,90,1,1.0,30,10,15
45,0.0,0.0,3,30,90,1,1.0,30,10,20
